id,name,price,name_hash,price_hash
134,"Гель ALGO TONUS с тремя типами водорослей, 500 мл MESOMATRIX (Россия)",1720.0,b902f202f5771b93384b9cb2fcd9bd64,0d9c9cc48e6ba15024ee9b370230a20e
135,"Гель HYAL ULTRA с высоко и низкомолекулярной ГК, 250 мл MESOMATRIX (Россия)",1690.0,b6b30ea3b48e535a79110858f04fcc18,04a2788eb68baf99fdc0e698eda2ec57
136,"Гель LIPO SLIM MACHINE GEL аппаратный с гуараной, L-карнитином, 500 мл MESOMATRIX (Россия)",2600.0,efeec3bc48ad8649a936ba115cf01107,13f9e13fd3fa7c4b7c4a6934e4945d3a
137,"Гель контакный SEBO ULTRA себорегулирующий, 250 мл MESOMATRIX (Россия)",1690.0,77448621dc954c55d67d50c89bce96b9,04a2788eb68baf99fdc0e698eda2ec57
138,"Гель контактный CAPILLAR PROTECT антикуперозный, 250 мл MESOMATRIX (Россия)",1690.0,26ddc18dc627c2309576f843f51e9f7e,04a2788eb68baf99fdc0e698eda2ec57
139,"Гель контактный CONTACT ULTRA, 500 мл MESOMATRIX (Россия)",990.0,c5585779415bb75157ecdc3a4c301174,dcecd320b99cc773ca62965d66c9a2d5
140,"Гель контактный LIFTING ULTRA лифтинг с эластином и коллагеном, 250 мл MESOMATRIX (Россия)",1690.0,4e7f004b4b812ffedc7791226b761b51,04a2788eb68baf99fdc0e698eda2ec57
141,"Гель контактный RF LIFTING, 1000 мл MESOMATRIX (Россия)",2150.0,cdc14ea956041cdce41178f3dd512630,d1ddf92d87f04bc52d8fcc1e00dba4f0
142,"Концентрат токопроводящий VACUUM LIFTING ULTRA, 500 мл MESOMATRIX (Россия)",1490.0,cb6ccd700569d398328b9c58912b329e,6c98f878c0fa3f00db478efe0edbad3f
143,"Тоник токопроводящий HYDRO BALANCE для гидропилинга, микротоков, 250 мл MESOMATRIX (Россия)",1490.0,688f17112eb7841bdfc024d5ab7310a2,6c98f878c0fa3f00db478efe0edbad3f
144,Масло массажное (для аппаратных методик) 150 мл Kleona (Россия),660.0,463433030ee6a23650b2ac216e93a4dc,f522d4240df49738a1e6d14e7a78700d
145,"Токопроводящее масло для аппаратных методик, 1л (Россия)",2300.0,2963df9ad6cf63b0259c87f53c3b3297,ec64c94660ea3ee61bafa03407d2ea07
146,"Акугель-Защита средство для обработки манипул, 1 кг (Россия)",770.0,e8e9d6301c96c197b64fea8752c9f5f6,da90e6c46b8144fe71ae5953884785f9
